DOI	volume	received	accepted	online	title	authors
10.1007/s12517-021-07944-0	14	03-Jun-21	10-Jul-21	17-Aug-21	Rock stress and deformation characteristics based on SVM and sports high-intensity interval training	"Ziyu, Liu; Qingyao, Sun"
10.1007/s12517-021-07969-5	14	31-Jul-19	10-Jul-21	18-Aug-21	Study on surrounding rock disturbance effect of multi-middle section combined backfilling mining in inclined iron ore	"Zhu, Hexuan; Han, Lijun; Meng, Qingbin; Li, Xingquan; Tian, Maolin; Meng, Lingdong"
10.1007/s12517-021-08050-x	14	13-Apr-21	16-Jul-21	18-Aug-21	"Origin and significance of 2- and 3-methylalkanes in coal and carbonaceous mudstone from the Kuqa Depression, Tarim Basin"	"Teng, Li; Zhang, Min"
10.1007/s12517-021-08131-x	14	12-May-21	26-Jul-21	18-Aug-21	Study on grouting penetration rule with filtration effect and grout–water interaction	"Zheng, Zhuo; Fan, Fengshuai; Pan, Xudong; Ma, Chenyang"
10.1007/s12517-021-07981-9	14	17-Apr-20	14-Jul-21	19-Aug-21	OLS modeling using GIS for aviation safety within a challenging topographic and urban neighborhood: the case of Beirut Rafic Hariri International Airport	"Alhassanieh, Nael; Nassar, Michelle; Aouad, Angele; Jadayel, Oussama; Iaaly, Amal"
10.1007/s12517-021-08175-z	14	11-Jun-21	01-Aug-21	16-Aug-21	Ocean surface temperature simulation based on big data and accuracy of English translation of foreign trade vocabulary	"Shi, Xingping"
10.1007/s12517-021-08030-1	14	04-Jun-21	15-Jul-21	09-Aug-21	Detection of soil pollution in hilly area based on Bayesian network and optimization of child allowance system	"Li, Wei; Ding, Qi"
10.1007/s12517-021-08106-y	14	27-Mar-20	22-Jul-21	07-Aug-21	"Integrated remote sensing, VES, and TEM to evaluate the Rafah coastal aquifers for sustainable development—a case study"	"Kotb, Adel D. M.; Nabeh, Maysa; Adham, Alhussein"
10.1007/s12517-021-08028-9	14	04-Jun-21	15-Jul-21	05-Aug-21	Evolution of dissolved total solids in groundwater based on high resolution image processing and evaluation of urban English translation	"Liao, Wanmei"
10.1007/s12517-021-08096-x	14	14-Oct-20	01-Jul-21	06-Aug-21	Investigating the tensile strength of concrete-gypsum interface using the ring type bi-material specimens	"Haeri, Hadi; Sarfarazi, Vahab; Marji, Mohammad Fatehi"
10.1007/s12517-021-08076-1	14	11-Jun-21	19-Jul-21	14-Aug-21	Research on urban environmental pollution intervention and elderly nursing satisfaction based on 5G big data	"Zhao, Li; Bi, Liwei; Chai, Nannan; Yang, Lihong; Cui, Tianliang; Shao, Yadong"
10.1007/s12517-021-08026-x	14	04-Jun-21	15-Jul-21	13-Aug-21	Precipitation anomaly in rainy season based on high resolution SAR and regulation of blood glucose in aerobic exercise for adolescents	"Liu, Naihong; Cao, Dandan"
10.1007/s12517-021-08071-6	14	11-Jun-21	19-Jul-21	13-Aug-21	Experimental study on the mechanical properties of unsaturated soils and the effects of dry-wet cycles—taking coastal cities as examples	"Zhang, Qinghai; Li, Mingbao; Wu, Lihua"
10.1007/s12517-021-07886-7	14	08-Feb-21	07-Jul-21	25-Aug-21	"Determination of radioactivity hazard zonation and structural setting using airborne gamma-ray spectrometric and magnetic data in Wadi Allaqi area, South Eastern Desert, Egypt"	"Mohamed, Waheed H.; Abdel Hafeez, Tharwat H."
10.1007/s12517-021-07827-4	14	04-Aug-20	30-Jun-21	25-Aug-21	The mechanism of crack propagation during frost heave damage in fractured rock mass at low temperature	"Wang, Tingting; Tang, Chun’an; Tang, Shibin; Bao, Chunyan; Li, Yang; Fan, Nan"
10.1007/s12517-021-08251-4	14	14-Mar-21	11-Aug-21	25-Aug-21	Integration of artificial intelligence–based LULC mapping and prediction for estimating ecosystem services for urban sustainability: past to future perspective	"Bindajam, Ahmed Ali; Mallick, Javed; Talukdar, Swapan; Islam, Abu Reza Md. Towfiqul; Alqadhi, Saeed"
